Time;Vazao01;Vazao02;Vazao03
21/05/2019;229.58;128.97;109.71
22/05/2019;228.52;126.84;107.28
23/05/2019;219.95;111.28;95.24
24/05/2019;217.42;124.95;100.29
25/05/2019;226.86;131.25;107.32
26/05/2019;260.79;127.18;99.5
27/05/2019;218.27;141.73;101.08
28/05/2019;211.72;115.05;93.26
29/05/2019;202.8;123.05;95.19
30/05/2019;164.96;115.09;94.7
31/05/2019;226.08;114.84;94.23
01/06/2019;170.3;91.46;79.41
02/06/2019;263.08;114.35;95.28
03/06/2019;196.48;127.63;98.25
04/06/2019;222.34;133.35;98.1
05/06/2019;232.18;128.76;95.24
06/06/2019;223.64;132.62;97.11
07/06/2019;220.46;127.46;100
08/06/2019;215.88;129.77;101.76
09/06/2019;265.93;122.34;96.51
10/06/2019;176.29;125.28;97.52
11/06/2019;218.08;119.53;96.69
12/06/2019;205.35;124.1;97.92
13/06/2019;216.5;125.47;98.69
14/06/2019;218.03;127.08;100.01
15/06/2019;261.81;130.13;102.56
16/06/2019;235.42;121.97;94.94
17/06/2019;208.25;126.53;97.07
18/06/2019;186.96;108.66;93.65
19/06/2019;223.91;113.29;94.26
20/06/2019;189.48;114.08;98.74
21/06/2019;207.67;104.56;93.97
22/06/2019;235.65;111.65;96.16
23/06/2019;210.16;111.23;95.57
24/06/2019;166.45;118.5;100.92
25/06/2019;198.47;116.04;99.4
26/06/2019;175.25;113.49;73.38
27/06/2019;224.68;108.02;96.03
28/06/2019;200.06;118.13;99.97
29/06/2019;224.95;122.96;104.65
30/06/2019;227.76;113.74;96.98
01/07/2019;193.89;117.64;99.03
02/07/2019;185.12;108.23;93.61
03/07/2019;199.82;106.1;93.18
04/07/2019;189.95;103.25;91.39
05/07/2019;190.42;106.05;91.98
06/07/2019;212.64;105.99;93.09
07/07/2019;190.91;103.46;89.85
08/07/2019;176.16;108.66;94.44
09/07/2019;202.8;106.5;94.24
10/07/2019;202.9;110.25;95.83
11/07/2019;192.79;112.65;95.91
12/07/2019;203.5;113.4;96.72
13/07/2019;215.43;115.14;99.76
14/07/2019;260.49;107.99;92.2
15/07/2019;159.06;100.73;90.54
16/07/2019;177.69;109.72;94.79
17/07/2019;202.7;104.41;92.08
18/07/2019;176.26;103.85;90.8
19/07/2019;191.6;111.01;96.32
20/07/2019;251.38;113.67;100.37
21/07/2019;217.6;108.08;93.35
22/07/2019;171.5;116.38;99.55
23/07/2019;197.62;111.42;98.43
24/07/2019;196.71;110.54;98.34
25/07/2019;198.21;106.42;97.22
26/07/2019;199.6;113.57;99.15
27/07/2019;216.73;114.74;104.85
28/07/2019;234.02;96.29;94.58
29/07/2019;195.77;112.95;101.25
30/07/2019;156.11;84.34;88.14
31/07/2019;191.81;114.48;100.53
01/08/2019;217.79;112.83;101.9
02/08/2019;216.73;105.5;98.84
03/08/2019;209.52;109.41;100.16
04/08/2019;198.02;95.22;92.69
05/08/2019;188.88;103.86;98.1
06/08/2019;206.47;111.58;100.34
07/08/2019;196.74;116.05;102.82
08/08/2019;235.36;115.39;105.28
09/08/2019;195.15;119.58;105.97
10/08/2019;251.04;124.46;110.45
11/08/2019;239.73;104.6;97.67
12/08/2019;164.88;124.13;107.03
13/08/2019;213.82;103.15;99.24
14/08/2019;179.79;101.21;100.73
15/08/2019;201.57;107.72;100.9
16/08/2019;211.35;116.12;104.94
17/08/2019;250.24;121.98;109.69
18/08/2019;227.47;107.7;99.58
19/08/2019;179.45;94.48;94.7
20/08/2019;189.64;99.93;97.23
21/08/2019;195.58;106.12;100.1
22/08/2019;193.93;109.1;103.65
23/08/2019;205.44;113.46;105.55
24/08/2019;225.88;112.65;106.5
25/08/2019;210.32;106.96;99.06
26/08/2019;200.95;113.75;103.52
27/08/2019;207.84;106.38;104
28/08/2019;205.35;109.61;103.12
29/08/2019;212.64;116.15;106.64
30/08/2019;216.14;121.13;110.01
31/08/2019;239.24;118.57;110.25
01/09/2019;232.28;99.6;95.46
